time,temperature,humidity,pressure,temperature2
2024-05-27 13:37:35,18,40,1015.0,17.7
2024-05-27 13:37:44,18,40,1014.9,17.7
2024-05-27 13:37:47,18,40,1015.0,17.7
2024-05-27 13:37:49,18,39,1015.0,17.7
2024-05-27 13:37:51,18,40,1014.9,17.7
2024-05-27 13:37:54,18,40,1015.0,17.7
2024-05-27 13:37:56,18,39,1015.0,17.7
2024-05-27 13:37:59,18,40,1015.0,17.7
2024-05-27 13:38:08,18,39,1015.0,17.6
2024-05-27 13:38:11,17,41,1015.0,17.4
2024-05-27 13:38:13,17,41,1015.0,17.2
2024-05-27 13:38:15,17,41,1015.0,17.0
2024-05-27 13:38:18,17,41,1015.0,17.1
2024-05-27 13:38:20,17,41,1014.9,17.1
2024-05-27 13:38:25,17,41,1015.0,17.1
2024-05-27 13:38:27,17,41,1015.0,17.2
2024-05-27 13:38:32,17,41,1015.0,17.1
2024-05-27 13:38:35,17,41,1015.0,17.2
2024-05-27 13:38:37,17,41,1014.9,17.2
2024-05-27 13:38:39,17,42,1015.0,17.3
2024-05-27 13:38:47,17,42,1015.1,17.3
2024-05-27 13:38:49,17,41,1015.0,17.3
2024-05-27 13:38:54,17,41,1014.9,17.4
2024-05-27 13:38:56,17,41,1015.0,17.4
2024-05-27 13:39:03,17,42,1015.1,17.4
2024-05-27 13:39:06,18,39,1015.1,17.5
2024-05-27 13:39:11,18,39,1015.0,17.5
2024-05-27 13:39:13,18,39,1015.1,17.5
2024-05-27 13:39:20,18,39,1015.2,17.5
2024-05-27 13:39:23,18,39,1015.1,17.5
2024-05-27 13:39:25,18,39,1015.1,17.6
2024-05-27 13:39:27,18,40,1015.1,17.6
2024-05-27 13:39:32,18,39,1015.2,17.6
2024-05-27 13:39:35,18,40,1015.1,17.6
2024-05-27 13:39:37,18,40,1015.1,17.7
2024-05-27 13:39:44,18,40,1015.0,17.8
2024-05-27 13:39:49,18,39,1015.0,17.8
2024-05-27 13:39:56,18,39,1015.1,17.9
2024-05-27 13:40:03,18,40,1015.1,18.0
2024-05-27 13:40:08,18,40,1015.0,18.1
2024-05-27 13:40:11,18,40,1015.0,18.2
2024-05-27 13:40:18,18,40,1015.1,18.3
2024-05-27 13:40:20,18,40,1015.0,18.3
2024-05-27 13:40:23,18,40,1015.0,18.4
2024-05-27 13:40:27,19,38,1015.0,18.5
2024-05-27 13:40:32,19,38,1015.0,18.6
2024-05-27 13:40:39,19,38,1014.9,18.7
2024-05-27 13:40:44,19,37,1014.8,18.7
2024-05-27 13:40:47,19,37,1014.9,18.7
2024-05-27 13:40:49,19,37,1014.9,18.8
2024-05-27 13:40:54,19,37,1014.9,18.9
2024-05-27 13:41:01,19,37,1014.9,19.0
2024-05-27 13:41:03,19,37,1014.8,19.0
2024-05-27 13:41:06,19,36,1014.8,19.0
2024-05-27 13:41:08,19,36,1014.7,19.1
2024-05-27 13:41:13,19,36,1014.8,19.1
2024-05-27 13:41:15,19,36,1014.7,19.1
2024-05-27 13:41:20,19,35,1014.6,19.0
2024-05-27 13:41:23,19,36,1014.7,19.0
2024-05-27 13:41:25,19,36,1014.7,19.1
2024-05-27 13:41:27,19,36,1014.7,19.2
2024-05-27 13:41:32,19,36,1014.8,19.2
2024-05-27 13:41:35,19,36,1014.7,19.3
2024-05-27 13:41:39,19,37,1014.7,19.4
2024-05-27 13:41:42,19,37,1014.8,19.4
2024-05-27 13:41:44,19,37,1014.7,19.4
2024-05-27 13:41:47,20,35,1014.8,19.5
2024-05-27 13:41:49,20,35,1014.7,19.5
2024-05-27 13:41:51,20,35,1014.7,19.6
2024-05-27 13:41:59,20,35,1014.7,19.7
2024-05-27 13:42:01,20,34,1014.8,19.7
2024-05-27 13:42:03,20,35,1014.8,19.7
2024-05-27 13:42:06,20,35,1014.8,19.8
2024-05-27 13:42:13,20,35,1014.8,19.9
2024-05-27 13:42:18,20,35,1014.9,19.9
2024-05-27 13:42:20,20,35,1014.8,19.9
2024-05-27 13:42:23,20,35,1014.8,20.0
2024-05-27 13:42:25,20,35,1014.9,20.0
2024-05-27 13:42:27,20,34,1014.9,20.0
2024-05-27 13:42:30,20,34,1014.8,20.0
2024-05-27 13:42:32,20,35,1014.8,20.1
2024-05-27 13:42:35,20,35,1014.9,20.1
2024-05-27 13:42:42,20,35,1014.9,20.2
2024-05-27 13:42:44,20,34,1014.9,20.1
2024-05-27 13:42:46,20,35,1015.0,20.2
2024-05-27 13:42:51,20,35,1014.9,20.2
2024-05-27 13:42:54,20,36,1015.0,20.3
